Kod;Nazwa;Bezrobocie;Wynagrodzenia;Ludnosckm2;Cenam2;Firmy1000os
2214000;Powiat tczewski;5,5;6 105,39;160,3;5 653;6,2
2215000;Powiat wejherowski;5,1;5 557,82;176,6;5 906;4,6
2216000;Powiat sztumski;5,9;5 597,89;52,9;3 256;6,4
2261000;Powiat m. Gdańsk;2,3;7 876,68;1 829,30;9 935;9,3
2262000;Powiat m. Gdynia;2;6 985,73;1 796,40;10 254;9,1
2263000;Powiat m. Słupsk;3,6;5 904,49;2 001,50;5 095;8,7
2264000;Powiat m. Sopot;1,8;7 701,83;1 859,20;15 633;15
2401000;Powiat będziński;6;5 671,96;399,2;4 833;6
2402000;Powiat bielski;3,1;5 875,70;362,1;5 434;6,1
2403000;Powiat cieszyński;5;5 838,18;240,4;5 875;6,7
2404000;Powiat częstochowski;6,5;5 774,96;86,7;4 028;4,8
2405000;Powiat gliwicki;3,7;6 067,07;170,3;4 292;5,1
2406000;Powiat kłobucki;7,3;5 132,42;92,8;4 858;6,2
2407000;Powiat lubliniecki;5,5;5 685,44;91,4;4 057;5,9
2408000;Powiat mikołowski;2,6;5 957,61;427,8;5 092;7,3
2409000;Powiat myszkowski;6,9;5 629,12;142;4 042;6,3
2410000;Powiat pszczyński;3,2;5 980,40;235,4;4 975;6,8
2411000;Powiat raciborski;3,6;6 823,09;183,9;4 180;6,5
2412000;Powiat rybnicki;4,9;5 660,84;343,4;3 423;4,2
2413000;Powiat tarnogórski;4,5;6 218,12;216,1;4 904;7,8
2414000;Powiat bieruńsko-lędziński;1,7;5 620,67;376,7;4 666;5,2
2415000;Powiat wodzisławski;5,1;5 478,76;527;3 653;4,6
2416000;Powiat zawierciański;5,6;6 438,58;112,4;3 939;5,9
2417000;Powiat żywiecki;5;6 015,37;143,7;5 442;6
2461000;Powiat m. Bielsko-Biała;1,8;6 434,35;1 340,00;6 172;12
2462000;Powiat m. Bytom;8,3;6 303,49;2 152,80;3 456;6
2463000;Powiat m. Chorzów;3,5;5 954,04;3 058,60;5 145;8,2
2464000;Powiat m. Częstochowa;3,2;6 018,76;1 304,00;5 691;9,9
2465000;Powiat m. Dąbrowa Górnicza;4,6;7 271,87;608,1;4 990;9,1
2466000;Powiat m. Gliwice;2,3;7 469,70;1 277,40;5 620;12,1
2467000;Powiat m. Jastrzębie-Zdrój;3,4;0;974,2;3 649;7,3
2468000;Powiat m. Jaworzno;4,2;7 568,06;574,5;5 066;6,6
2469000;Powiat m. Katowice;1,5;8 017,49;1 700,90;6 481;16,1
2470000;Powiat m. Mysłowice;5;5 754,97;1 091,00;4 808;7,5
2471000;Powiat m. Piekary Śląskie;7;6 550,47;1 308,00;4 093;5,9
2472000;Powiat m. Ruda Śląska;2,5;6 006,82;1 694,10;4 092;6,2
2473000;Powiat m. Rybnik;2,8;6 135,40;888,5;4 673;6,9
2474000;Powiat m. Siemianowice Śląskie;3,9;5 955,67;2 504,60;5 157;6,5
2475000;Powiat m. Sosnowiec;5,2;6 126,60;2 075,20;4 874;7,1
2476000;Powiat m. Świętochłowice;4,6;5 653,41;3 443,20;4 860;6,4
2477000;Powiat m. Tychy;1,7;6 236,50;1 504,80;6 150;8,4
2478000;Powiat m. Zabrze;4,4;6 511,57;1 932,70;4 188;7,2
2479000;Powiat m. Żory;3,5;5 747,61;956,3;5 485;6,3
